origin_airport;destination_airport;image_url;image_tag;description;url;origin_city;destination_city;price_oneway;price_round;applink;route;priority;origin_country_2lc;destination_country_2lc;origin_location_id;origin_slug;destination_location_id;destination_slug;origin_city_en;destination_city_en;origin_country;origin_country_en;destination_country;destination_country_en;cheap_landing_page_url;search_results_url_oneway;search_results_url_return;currency;language
BRQ;YYC;https://images.kiwi.com/photos/1280x720/calgary_ab_ca.jpg;Calgary, travel destination, city;Brno - Calgary;https://kiwi.com/cz/hledej/results/brno-cesko/calgary-alberta-kanada;Brno;Calgary;6026 CZK;12614 CZK;;BRQ-YYC;;CZ;CA;brno_cz;brno-cesko;calgary_ab_ca;calgary-alberta-kanada;Brno;Calgary;Česko;Czechia;Kanada;Canada;https://www.kiwi.com/cz/cheap-flights/brno-cesko/calgary-alberta-kanada/;https://www.kiwi.com/cz/hledej/results/brno-cesko/calgary-alberta-kanada/anytime/no-return;https://www.kiwi.com/cz/hledej/results/brno-cesko/calgary-alberta-kanada/anytime;CZK;cz
PRG;DOM;https://kw-marketing-feeds-prod.s3-eu-west-1.amazonaws.com/plane+(1)+(1).jpg;Saint Andrew Parish, travel destination, city;Praha - Saint Andrew Parish;https://kiwi.com/cz/hledej/results/praha-cesko/saint-andrew-parish-dominica;Praha;Saint Andrew Parish;14255 CZK;28070 CZK;;PRG-DOM;;CZ;DM;prague_cz;praha-cesko;saint-andrew-parish_dm;saint-andrew-parish-dominica;Prague;Saint Andrew Parish;Česko;Czechia;Dominika;Dominica;https://www.kiwi.com/cz/cheap-flights/praha-cesko/saint-andrew-parish-dominica/;https://www.kiwi.com/cz/hledej/results/praha-cesko/saint-andrew-parish-dominica/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/saint-andrew-parish-dominica/anytime;CZK;cz
PRG;MGQ;https://images.kiwi.com/photos/1280x720/mogadishu_so.jpg;Mogadišu, travel destination, city;Praha - Mogadišu;https://kiwi.com/cz/hledej/results/praha-cesko/mogadisu-somalsko;Praha;Mogadišu;9822 CZK;23073 CZK;;PRG-MGQ;;CZ;SO;prague_cz;praha-cesko;mogadishu_so;mogadisu-somalsko;Prague;Mogadishu;Česko;Czechia;Somálsko;Somalia;https://www.kiwi.com/cz/cheap-flights/praha-cesko/mogadisu-somalsko/;https://www.kiwi.com/cz/hledej/results/praha-cesko/mogadisu-somalsko/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/mogadisu-somalsko/anytime;CZK;cz
PRG;MJT;https://images.kiwi.com/photos/1280x720/mytilene_gr.jpg;Mytilene, travel destination, city;Praha - Mytilene;https://kiwi.com/cz/hledej/results/praha-cesko/mytilene-greece;Praha;Mytilene;1764 CZK;3307 CZK;;PRG-MJT;;CZ;GR;prague_cz;praha-cesko;mytilene_gr;mytilene-greece;Prague;Mytilene;Česko;Czechia;Řecko;Greece;https://www.kiwi.com/cz/cheap-flights/praha-cesko/mytilene-greece/;https://www.kiwi.com/cz/hledej/results/praha-cesko/mytilene-greece/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/mytilene-greece/anytime;CZK;cz
BRQ;TBS;https://images.kiwi.com/photos/1280x720/tbilisi_ge.jpg;Tbilisi, travel destination, city;Brno - Tbilisi;https://kiwi.com/cz/hledej/results/brno-cesko/tbilisi-gruzie;Brno;Tbilisi;3993 CZK;8230 CZK;;BRQ-TBS;;CZ;GE;brno_cz;brno-cesko;tbilisi_ge;tbilisi-gruzie;Brno;Tbilisi;Česko;Czechia;Gruzie;Georgia;https://www.kiwi.com/cz/cheap-flights/brno-cesko/tbilisi-gruzie/;https://www.kiwi.com/cz/hledej/results/brno-cesko/tbilisi-gruzie/anytime/no-return;https://www.kiwi.com/cz/hledej/results/brno-cesko/tbilisi-gruzie/anytime;CZK;cz
PRG;MEM;https://images.kiwi.com/photos/1280x720/memphis_tn_us.jpg;Memphis, travel destination, city;Praha - Memphis;https://kiwi.com/cz/hledej/results/praha-cesko/memphis-tennessee-spojene-staty;Praha;Memphis; CZK;17391 CZK;;PRG-MEM;;CZ;US;prague_cz;praha-cesko;memphis_tn_us;memphis-tennessee-spojene-staty;Prague;Memphis;Česko;Czechia;Spojené státy;United States;https://www.kiwi.com/cz/cheap-flights/praha-cesko/memphis-tennessee-spojene-staty/;https://www.kiwi.com/cz/hledej/results/praha-cesko/memphis-tennessee-spojene-staty/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/memphis-tennessee-spojene-staty/anytime;CZK;cz
PRG;KTM;https://images.kiwi.com/photos/1280x720/kathmandu_np.jpg;Káthmándú, travel destination, city;Praha - Káthmándú;https://kiwi.com/cz/hledej/results/praha-cesko/kathmandu-nepal;Praha;Káthmándú;6981 CZK;15750 CZK;;PRG-KTM;;CZ;NP;prague_cz;praha-cesko;kathmandu_np;kathmandu-nepal;Prague;Kathmandu;Česko;Czechia;Nepál;Nepal;https://www.kiwi.com/cz/cheap-flights/praha-cesko/kathmandu-nepal/;https://www.kiwi.com/cz/hledej/results/praha-cesko/kathmandu-nepal/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/kathmandu-nepal/anytime;CZK;cz
PRG;ANC;https://images.kiwi.com/photos/1280x720/anchorage_ak_us.jpg;Anchorage, travel destination, city;Praha - Anchorage;https://kiwi.com/cz/hledej/results/praha-cesko/anchorage-aljaska-spojene-staty;Praha;Anchorage;14231 CZK;18566 CZK;;PRG-ANC;;CZ;US;prague_cz;praha-cesko;anchorage_ak_us;anchorage-aljaska-spojene-staty;Prague;Anchorage;Česko;Czechia;Spojené státy;United States;https://www.kiwi.com/cz/cheap-flights/praha-cesko/anchorage-aljaska-spojene-staty/;https://www.kiwi.com/cz/hledej/results/praha-cesko/anchorage-aljaska-spojene-staty/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/anchorage-aljaska-spojene-staty/anytime;CZK;cz
PRG;GLA;https://images.kiwi.com/photos/1280x720/glasgow_gb.jpg;Glasgow, travel destination, city;Praha - Glasgow;https://kiwi.com/cz/hledej/results/praha-cesko/glasgow-spojene-kralovstvi;Praha;Glasgow;1200 CZK;2400 CZK;;PRG-GLA;;CZ;GB;prague_cz;praha-cesko;glasgow_gb;glasgow-spojene-kralovstvi;Prague;Glasgow;Česko;Czechia;Spojené království;United Kingdom;https://www.kiwi.com/cz/cheap-flights/praha-cesko/glasgow-spojene-kralovstvi/;https://www.kiwi.com/cz/hledej/results/praha-cesko/glasgow-spojene-kralovstvi/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/glasgow-spojene-kralovstvi/anytime;CZK;cz
BRQ;VNO;https://images.kiwi.com/photos/1280x720/vilnius_lt.jpg;Vilnius, travel destination, city;Brno - Vilnius;https://kiwi.com/cz/hledej/results/brno-cesko/vilnius-litva;Brno;Vilnius;1543 CZK;2964 CZK;;BRQ-VNO;;CZ;LT;brno_cz;brno-cesko;vilnius_lt;vilnius-litva;Brno;Vilnius;Česko;Czechia;Litva;Lithuania;https://www.kiwi.com/cz/cheap-flights/brno-cesko/vilnius-litva/;https://www.kiwi.com/cz/hledej/results/brno-cesko/vilnius-litva/anytime/no-return;https://www.kiwi.com/cz/hledej/results/brno-cesko/vilnius-litva/anytime;CZK;cz
PRG;LHE;https://images.kiwi.com/photos/1280x720/lahore_pk.jpg;Láhaur, travel destination, city;Praha - Láhaur;https://kiwi.com/cz/hledej/results/praha-cesko/lahaur-pakistan;Praha;Láhaur;5021 CZK;14770 CZK;;PRG-LHE;;CZ;PK;prague_cz;praha-cesko;lahore_pk;lahaur-pakistan;Prague;Lahore;Česko;Czechia;Pákistán;Pakistan;https://www.kiwi.com/cz/cheap-flights/praha-cesko/lahaur-pakistan/;https://www.kiwi.com/cz/hledej/results/praha-cesko/lahaur-pakistan/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/lahaur-pakistan/anytime;CZK;cz
