games__id,games__name,games__url,games__thumbnailUrl
mine_mine_quest.tomhorn,マイン・マイン・クエスト,https://www.mystino.com/ja/game/mine_mine_quest.tomhorn/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/2h3JZHUGhY1FWwTN1DRCXR/16a3dd4cd07ac0b89418647463a926f4/mine_mine_quest.tomhorn.jpeg"
super_joker.pragmaticplay,スーパージョーカー,https://www.mystino.com/ja/game/super_joker.pragmaticplay/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/7uj8B8ZFFbAFZ3jCaUsY98/8e3a51b904aebbe6241588b9f6843d34/super_joker.pragmaticplay.thumbnail.jpeg"
africa_xup.microgaming,アフリカ Xアップ,https://www.mystino.com/ja/game/africa_xup.microgaming/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/2gWqzKVFfOUYI1JuRvamEo/f621fd1c131d061bf301f6a7ef2c7e3d/AfricaXUP.png"
golden_yak.microgaming,ゴールデン・ヤク,https://www.mystino.com/ja/game/golden_yak.microgaming/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/4gxPpXpD28noIT3jeNKQFc/00e08d6baf461f1a95358a0ef3e84fa0/golden_yak.jpeg"
hanzos_dojo.yggdrasil,ハンゾーズ・ドージョー,https://www.mystino.com/ja/game/hanzos_dojo.yggdrasil/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/67ptvBMgXfkPOOOmaURxmo/7614c68c0f05b0b71a00de0ece375b90/hanzos_dojo.yggdrasil.thumbnail.png"
9_sons_1_king.skywind,9 サンズ、1 キング,https://www.mystino.com/ja/game/9_sons_1_king.skywind/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/2EjnIbQ4PRBT6TwokTFGX9/dd617c7fc143168578710b0ffeae9305/9_sons_1_king.skywind.png"
sir_blingalot.habanero,サー・ブリンガロット,https://www.mystino.com/ja/game/sir_blingalot.habanero/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/7jphjp7wEwpwkmePniPWaL/44a72854167cd0d06bff1a43bf1cfd8f/SGSirBlingalot.png"
mystery_reels_megaways.redtiger,ミステリー・リールズ・メガウェイズ,https://www.mystino.com/ja/game/mystery_reels_megaways.redtiger/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/1BxsR6EP4Pop0adxx3bsHd/7c03e8e8d9ffb319359765c07edc928c/mystery_reels_megaways.redtiger.thumbnail.png"
fat_rabbit.push,ファット・ラビット,https://www.mystino.com/ja/game/fat_rabbit.push/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/4pkzMrXrb92eicMtbvoDn4/6b982a5a0bbfc46d14f349e64377c46e/fat_rabbit.push.thumbnail.png"
rumble_rhino_megaways.pariplay,ランブル・ライノ・メガウェイズ,https://www.mystino.com/ja/game/rumble_rhino_megaways.pariplay/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/1vq0oJ8XjvWpd146t4L43W/7b8681d4f76f0918bbfa5af81caf61ca/rumble_rhino_megaways.pariplay.jpeg"
chronicles_of_olympus_x_up.microgaming,クロニクル・オブ・オリンポス X Up,https://www.mystino.com/ja/game/chronicles_of_olympus_x_up.microgaming/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/6c9uZrEWSlR2NU0BoOKatI/bcaabbbec70ea00e9e04081a9c4c4c31/chronicles_of_olympus_x_up.microgaming.jpeg"
leprechaun_song.pragmaticplay,レプラチャン・ソング,https://www.mystino.com/ja/game/leprechaun_song.pragmaticplay/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/5fx8lN31SUd1rjXTul4UIh/b9123303ca4596a888008c32458eff3a/leprechaun_song.pragmaticplay.thumbnail.png"
lucky_stones.goldenhero,ラッキー・ストーンズ,https://www.mystino.com/ja/game/lucky_stones.goldenhero/,"https://www.mystino.com/cdn-cgi/image/format=auto,fit=cover,metadata=none,onerror=redirect,width=300,height=210,quality=70,dpr=1/https://images.ctfassets.net/gfvfx5dc97y3/10RswLpudqJFG52j73cpkV/b168d4706f9f3f41153a1b39dbb8e62a/lucky_stones.goldenhero.thumbnail.png"
